[Step 6] CHỈ SỐ SILHOUETTE
Silhouette trung bình toàn bộ: 0.462119

Silhouette trung bình theo từng cluster:
- Cluster 386: silhouette_mean=0.269378, so_diem=369
- Cluster 387: silhouette_mean=0.303916, so_diem=105
- Cluster 388: silhouette_mean=0.348566, so_diem=371
- Cluster 389: silhouette_mean=0.776004, so_diem=94
- Cluster 390: silhouette_mean=0.413548, so_diem=240
- Cluster 391: silhouette_mean=0.379290, so_diem=400
- Cluster 392: silhouette_mean=0.472597, so_diem=121
- Cluster 393: silhouette_mean=0.582466, so_diem=142
- Cluster 394: silhouette_mean=0.313248, so_diem=553
- Cluster 395: silhouette_mean=0.687356, so_diem=637
- Cluster 396: silhouette_mean=0.380571, so_diem=132
- Cluster 397: silhouette_mean=0.382939, so_diem=100
- Cluster 398: silhouette_mean=0.389587, so_diem=100
- Cluster 399: silhouette_mean=0.403558, so_diem=243
- Cluster 400: silhouette_mean=0.452708, so_diem=286
- Cluster 401: silhouette_mean=0.300506, so_diem=377
- Cluster 402: silhouette_mean=0.450098, so_diem=251
- Cluster 403: silhouette_mean=0.483511, so_diem=382
- Cluster 404: silhouette_mean=0.385370, so_diem=221
- Cluster 405: silhouette_mean=0.371386, so_diem=324
- Cluster 406: silhouette_mean=0.467251, so_diem=99
- Cluster 407: silhouette_mean=0.325827, so_diem=236
- Cluster 408: silhouette_mean=0.367807, so_diem=516
- Cluster 409: silhouette_mean=0.434559, so_diem=235
- Cluster 410: silhouette_mean=0.356713, so_diem=159
- Cluster 411: silhouette_mean=0.377982, so_diem=113
- Cluster 412: silhouette_mean=0.373101, so_diem=193
- Cluster 413: silhouette_mean=0.377545, so_diem=205
- Cluster 414: silhouette_mean=0.353196, so_diem=225
- Cluster 415: silhouette_mean=0.316282, so_diem=217
- Cluster 416: silhouette_mean=0.547953, so_diem=183
- Cluster 417: silhouette_mean=0.382081, so_diem=94
- Cluster 418: silhouette_mean=0.304372, so_diem=530
- Cluster 419: silhouette_mean=0.378198, so_diem=297
- Cluster 420: silhouette_mean=0.397746, so_diem=394
- Cluster 421: silhouette_mean=0.291730, so_diem=187
- Cluster 422: silhouette_mean=0.451431, so_diem=151
- Cluster 423: silhouette_mean=0.328042, so_diem=159
- Cluster 424: silhouette_mean=0.267677, so_diem=272
- Cluster 425: silhouette_mean=0.354393, so_diem=387
- Cluster 426: silhouette_mean=0.573154, so_diem=1288
- Cluster 427: silhouette_mean=0.781860, so_diem=1075
- Cluster 428: silhouette_mean=0.469647, so_diem=81
- Cluster 429: silhouette_mean=0.951541, so_diem=57
- Cluster 430: silhouette_mean=0.297627, so_diem=159
- Cluster 431: silhouette_mean=0.954777, so_diem=86
- Cluster 432: silhouette_mean=0.646616, so_diem=228
- Cluster 433: silhouette_mean=0.757230, so_diem=497
- Cluster 434: silhouette_mean=0.763039, so_diem=254
- Cluster 435: silhouette_mean=0.735696, so_diem=176
- Cluster 436: silhouette_mean=0.363651, so_diem=440
- Cluster 437: silhouette_mean=0.342043, so_diem=436
- Cluster 438: silhouette_mean=0.416564, so_diem=251
- Cluster 439: silhouette_mean=0.644398, so_diem=602
- Cluster 440: silhouette_mean=0.986032, so_diem=53
- Cluster 441: silhouette_mean=0.460580, so_diem=478
- Cluster 442: silhouette_mean=0.762815, so_diem=135
- Cluster 443: silhouette_mean=0.609641, so_diem=314
- Cluster 444: silhouette_mean=0.647181, so_diem=87
- Cluster 445: silhouette_mean=0.306616, so_diem=116
- Cluster 446: silhouette_mean=0.489262, so_diem=134
- Cluster 447: silhouette_mean=0.381444, so_diem=166
- Cluster 448: silhouette_mean=0.426129, so_diem=149
- Cluster 449: silhouette_mean=0.394735, so_diem=272
- Cluster 450: silhouette_mean=0.363891, so_diem=203
- Cluster 451: silhouette_mean=0.392779, so_diem=293
- Cluster 452: silhouette_mean=0.401333, so_diem=276
- Cluster 453: silhouette_mean=0.497612, so_diem=340
- Cluster 454: silhouette_mean=0.886625, so_diem=33
- Cluster 455: silhouette_mean=0.306583, so_diem=272
- Cluster 456: silhouette_mean=0.328575, so_diem=254
- Cluster 457: silhouette_mean=0.392750, so_diem=151
- Cluster 458: silhouette_mean=0.742944, so_diem=135
- Cluster 459: silhouette_mean=0.492072, so_diem=662
- Cluster 460: silhouette_mean=0.486788, so_diem=142
- Cluster 461: silhouette_mean=0.386416, so_diem=287
- Cluster 462: silhouette_mean=0.448888, so_diem=126
- Cluster 463: silhouette_mean=0.578785, so_diem=41
- Cluster 464: silhouette_mean=0.439857, so_diem=232
- Cluster 465: silhouette_mean=0.428834, so_diem=92
- Cluster 466: silhouette_mean=0.557419, so_diem=343
- Cluster 467: silhouette_mean=0.339263, so_diem=276
- Cluster 468: silhouette_mean=0.428755, so_diem=161
- Cluster 469: silhouette_mean=0.679923, so_diem=413
- Cluster 470: silhouette_mean=0.480194, so_diem=317
- Cluster 471: silhouette_mean=0.929397, so_diem=226
- Cluster 472: silhouette_mean=0.539688, so_diem=412
- Cluster 473: silhouette_mean=0.759128, so_diem=739
- Cluster 474: silhouette_mean=0.737215, so_diem=155
- Cluster 475: silhouette_mean=0.332487, so_diem=203
- Cluster 476: silhouette_mean=0.945795, so_diem=34
